,blown_leads
ARI_2012,0.0
ATL_2012,0.0
BAL_2012,0.0
BOS_2012,0.0
CHC_2012,0.0
CHW_2012,0.0
CIN_2012,0.0
CLE_2012,1.0
COL_2012,0.0
DET_2012,0.0
HOU_2012,0.0
KCR_2012,0.0
LAA_2012,0.0
LAD_2012,0.0
MIA_2012,0.0
MIL_2012,0.0
MIN_2012,0.0
NYM_2012,0.0
NYY_2012,0.0
OAK_2012,0.0
PHI_2012,0.0
PIT_2012,0.0
SDP_2012,0.0
SEA_2012,0.0
SFG_2012,0.0
STL_2012,0.0
TBR_2012,1.0
TEX_2012,0.0
TOR_2012,0.0
WSN_2012,0.0
nan_2012,0.0
ARI_2013,0.0
ATL_2013,0.0
BAL_2013,1.0
BOS_2013,0.0
CHC_2013,0.0
CHW_2013,0.0
CIN_2013,1.0
CLE_2013,0.0
COL_2013,0.0
DET_2013,0.0
HOU_2013,0.0
KCR_2013,0.0
LAA_2013,0.0
LAD_2013,0.0
MIA_2013,0.0
MIL_2013,0.0
MIN_2013,0.0
NYM_2013,0.0
NYY_2013,0.0
OAK_2013,0.0
PHI_2013,0.0
PIT_2013,0.0
SDP_2013,0.0
SEA_2013,0.0
SFG_2013,0.0
STL_2013,0.0
TBR_2013,0.0
TEX_2013,0.0
TOR_2013,0.0
WSN_2013,0.0
nan_2013,0.0
