,team_abbrv,team_name,box_score_data,box_score_id,season,home_team,home_team_innings_data,home_team_other_data,away_team,away_team_innings_data,away_team_other_data,team_side,result,blown_leads
0,ARI_2012,Arizona Diamondbacks,"{'home_team': {'team_name': 'Arizona Diamondbacks', 'inning_data': {'1': '3', '2': '0', '3': '0', '4': '0', '5': '0', '6': '2', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '5', 'hits': '7', 'errors': '0'}}, 'away_team': {'team_name': 'San Francisco Giants', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '2', '6': '1', '7': '0', '8': '0', '9': '1'}, 'other_box_score_data': {'runs': '4', 'hits': '11', 'errors': '3'}}}",ARI20120406,2012,Arizona Diamondbacks,"['3', '0', '0', '0', '0', '2', '0', '0', 'X']","{'runs': '5', 'hits': '7', 'errors': '0'}",San Francisco Giants,"['0', '0', '0', '0', '2', '1', '0', '0', '1']","{'runs': '4', 'hits': '11', 'errors': '3'}",home,1.0,0.0
0,ARI_2012,Arizona Diamondbacks,"{'home_team': {'team_name': 'Arizona Diamondbacks', 'inning_data': {'1': '2', '2': '2', '3': '0', '4': '0', '5': '1', '6': '0', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '5', 'hits': '10', 'errors': '0'}}, 'away_team': {'team_name': 'San Francisco Giants', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '2', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '6', 'errors': '0'}}}",ARI20120407,2012,Arizona Diamondbacks,"['2', '2', '0', '0', '1', '0', '0', '0', 'X']","{'runs': '5', 'hits': '10', 'errors': '0'}",San Francisco Giants,"['0', '0', '0', '2', '0', '0', '2', '0', '0']","{'runs': '4', 'hits': '6', 'errors': '0'}",home,1.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,ATL_2012,Atlanta Braves,"{'home_team': {'team_name': 'New York Mets', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '1', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '1', 'hits': '7', 'errors': '0'}}, 'away_team': {'team_name': 'Atlanta Braves', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '0', 'hits': '4', 'errors': '1'}}}",ATL20120405,2012,New York Mets,"['0', '0', '0', '0', '0', '1', '0', '0', 'X']","{'runs': '1', 'hits': '7', 'errors': '0'}",Atlanta Braves,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","{'runs': '0', 'hits': '4', 'errors': '1'}",away,0.0,0.0
0,ATL_2012,Atlanta Braves,"{'home_team': {'team_name': 'New York Mets', 'inning_data': {'1': '1', '2': '0', '3': '0', '4': '1', '5': '1', '6': '0', '7': '1', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '4', 'hits': '13', 'errors': '0'}}, 'away_team': {'team_name': 'Atlanta Braves', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '2', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '7', 'errors': '0'}}}",ATL20120407,2012,New York Mets,"['1', '0', '0', '1', '1', '0', '1', '0', 'X']","{'runs': '4', 'hits': '13', 'errors': '0'}",Atlanta Braves,"['0', '0', '0', '0', '2', '0', '0', '0', '0']","{'runs': '2', 'hits': '7', 'errors': '0'}",away,0.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,BAL_2012,Baltimore Orioles,"{'home_team': {'team_name': 'Baltimore Orioles', 'inning_data': {'1': '2', '2': '0', '3': '0', '4': '1', '5': '0', '6': '1', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '4', 'hits': '6', 'errors': '0'}}, 'away_team': {'team_name': 'Minnesota Twins', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '2'}, 'other_box_score_data': {'runs': '2', 'hits': '6', 'errors': '0'}}}",BAL20120406,2012,Baltimore Orioles,"['2', '0', '0', '1', '0', '1', '0', '0', 'X']","{'runs': '4', 'hits': '6', 'errors': '0'}",Minnesota Twins,"['0', '0', '0', '0', '0', '0', '0', '0', '2']","{'runs': '2', 'hits': '6', 'errors': '0'}",home,1.0,0.0
0,BAL_2012,Baltimore Orioles,"{'home_team': {'team_name': 'Baltimore Orioles', 'inning_data': {'1': '0', '2': '1', '3': '2', '4': '3', '5': '0', '6': '0', '7': '2', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '8', 'hits': '13', 'errors': '1'}}, 'away_team': {'team_name': 'Minnesota Twins', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '2', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '7', 'errors': '2'}}}",BAL20120407,2012,Baltimore Orioles,"['0', '1', '2', '3', '0', '0', '2', '0', 'X']","{'runs': '8', 'hits': '13', 'errors': '1'}",Minnesota Twins,"['0', '0', '0', '0', '0', '0', '0', '2', '0']","{'runs': '2', 'hits': '7', 'errors': '2'}",home,1.0,0.0
